boat,dtf,long,lat,time
366,1844052,-43.89799,16.08465,1480204805
366,1803280,-44.27876,16.05704,1480219205
366,1773161,-44.55953,16.03125,1480233605
366,1739173,-44.87723,16.0122,1480248005
366,1702820,-45.21446,15.9639,1480262405
366,1661813,-45.59975,15.96329,1480276805
366,1626523,-45.9286,15.9336,1480291205
366,1589806,-46.26935,15.88881,1480305605
366,1552939,-46.61238,15.85379,1480320005
366,1518220,-46.93672,15.8344,1480334406
366,1487832,-47.2221,15.83204,1480348805
366,1456313,-47.51314,15.78169,1480363205
366,1426699,-47.78795,15.74808,1480377605
366,1395548,-48.07574,15.701,1480392005
366,1354733,-48.45727,15.68242,1480406405
366,1317039,-48.80986,15.66704,1480420858
366,1274584,-49.20516,15.63332,1480435205
366,1231156,-49.61047,15.60743,1480449605
366,1194393,-49.94963,15.55204,1480464000
366,1159764,-50.26922,15.50166,1480478405
366,1121526,-50.62185,15.4445,1480492805
366,1084737,-50.96359,15.41118,1480507205
366,1042369,-51.3578,15.3787,1480521605
366,996788,-51.78523,15.37004,1480536024
366,957889,-52.14487,15.3222,1480550406
366,912818,-52.55959,15.25252,1480564830
366,870588,-52.94806,15.18727,1480579205
366,829278,-53.33064,15.14409,1480593605
366,778617,-53.80353,15.11903,1480608005
366,729616,-54.25757,15.07007,1480622424
366,689706,-54.62498,15.01392,1480636805
366,645900,-55.02672,14.94236,1480651224
366,600437,-55.44852,14.90284,1480665605
366,550117,-55.9206,14.89224,1480680030
366,502320,-56.35975,14.82254,1480694434
366,455993,-56.78719,14.76672,1480708808
366,410150,-57.20944,14.70766,1480723224
366,364063,-57.62649,14.60408,1480737636
366,319517,-58.03265,14.52266,1480752024
366,279099,-58.40464,14.47161,1480766405
366,236280,-58.80016,14.4268,1480780805
366,193481,-59.18892,14.34159,1480795207
366,158610,-59.51351,14.32136,1480809605
366,121249,-59.86124,14.29503,1480824005
366,118977,-59.88225,14.29259,1480824900
366,116978,-59.90067,14.29011,1480825800
366,115305,-59.91599,14.28757,1480826700
366,113434,-59.93315,14.28487,1480827600
366,111452,-59.95144,14.28253,1480828500
366,108834,-59.97556,14.27923,1480829400
366,106251,-59.99925,14.27546,1480830300
366,103679,-60.02274,14.27126,1480831200
366,101043,-60.04686,14.26714,1480832100
366,98392,-60.07115,14.26318,1480833000
366,95685,-60.09603,14.25946,1480833900
366,92916,-60.12151,14.2558,1480834800
366,90143,-60.14649,14.24969,1480835700
366,87327,-60.1717,14.24274,1480836600
366,84511,-60.19704,14.2364,1480837500
366,81701,-60.22272,14.23191,1480838400
366,78886,-60.2485,14.22763,1480839300
366,76259,-60.27264,14.224,1480840200
366,73622,-60.29681,14.22008,1480841100
366,70956,-60.32127,14.21621,1480842000
366,68372,-60.34502,14.21265,1480842900
366,65821,-60.36845,14.20903,1480843800
366,63242,-60.39217,14.20551,1480844700
366,60602,-60.41657,14.20238,1480845600
366,57974,-60.44095,14.19962,1480846500
366,55425,-60.46458,14.1968,1480847400
366,52895,-60.48795,14.19362,1480848300
366,50379,-60.51088,14.18922,1480849200
366,47865,-60.53378,14.18476,1480850100
366,45346,-60.55674,14.18032,1480851000
366,42811,-60.57988,14.17599,1480851900
366,40110,-60.60457,14.17147,1480852800
357,3862994,-15.42787,28.12678,1478106630
357,3862994,-15.42648,28.12905,1478109601
357,3862994,-15.42622,28.12887,1478116800
357,3862994,-15.42638,28.12888,1478124005
357,3862994,-15.42632,28.12879,1478131200
357,3862994,-15.42644,28.12886,1478138405
357,3862994,-15.42634,28.12887,1478145600
357,3862994,-15.42641,28.12884,1478152806
357,3862994,-15.42638,28.12888,1478160000
357,3862994,-15.42643,28.12887,1478167206
357,3862994,-15.42643,28.12891,1478174400
357,3862994,-15.425,28.12802,1478188800
357,3862994,-15.42581,28.12887,1478196000
357,3862994,-15.42636,28.12892,1478203205
357,3862994,-15.42637,28.12891,1478210406
357,3862994,-15.42644,28.12895,1478217600
357,3862994,-15.4264,28.12889,1478224805
357,3862994,-15.42643,28.12898,1478232000
357,3862994,-15.42641,28.12889,1478239205
357,3862994,-15.42638,28.12889,1478246400
357,3862994,-15.42631,28.12869,1478253600
357,3862994,-15.42641,28.12889,1478260805
357,3862994,-15.42668,28.12893,1478268000
357,3862994,-15.42639,28.12893,1478275205
357,3862994,-15.42655,28.12909,1478282400
